S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES ," GODREJ PROTEKT Germ Protection Dish Wash Liquid Gel – Removes Grease, Fragrance: Lime",Godrej Protekt,40197226,https://www.bigbasket.com/pd/40197226/godrej-protekt-germ-protection-dish-wash-liquid-gel-removes-grease-fragrance-lime-750-ml/,"Godrej Protekt Germ Protection Dish Wash Liquid Gel – Removes Grease, Fragrance: Lime, 750 ml",155,Rs 125.55,19%,750 ml,,https://www.bigbasket.com/media/uploads/p/mm/40197226_5-godrej-protekt-germ-protection-dish-wash-liquid-gel-removes-grease-fragrance-lime.jpg,"Godrej Protekt Germ Protection Dish Wash is enriched with the power of Lime and Neem. It removes grease with ease and does not damage the surface of utensils. Unlike dish wash soap bars, this liquid leaves behind no residue and gives you sparkling clean utensils with a refreshing lime fragrance. The dish wash liquid is tough on germs and gentle on hands. Also available in a 750ml bottle and 1L refill pack.",__ EAN__,"https://www.bigbasket.com/media/uploads/p/l/40197226_5-godrej-protekt-germ-protection-dish-wash-liquid-gel-removes-grease-fragrance-lime.jpg"""
, CLEANING & HOUSEHOLD , ALL PURPOSE CLEANERS , DISINFECTANT SPRAY & CLEANERS ," GODREJ PROTEKT Germ Protection Fruit & Veggie Wash – Natural Ingredient Based, Removes Germs, Bacteria, Fungus, Wax & Dirt",Godrej Protekt,40197227,https://www.bigbasket.com/pd/40197227/godrej-protekt-germ-protection-fruit-veggie-wash-natural-ingredient-based-removes-germs-bacteria-fungus-wax-dirt-500-ml/,"Godrej Protekt Germ Protection Fruit & Veggie Wash – Natural Ingredient Based, Removes Germs, Bacteria, Fungus, Wax & Dirt, 500 ml",249,,,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/40197227_5-godrej-protekt-germ-protection-fruit-veggie-wash-natural-ingredient-based-removes-germs-bacteria-fungus-wax-dirt.jpg,"Godrej Protekt Germ Protection Fruit & Veggie Wash liquid is a natural ingredient based solution for washing fruits and vegetables, thus retaining its goodness. It removes bacteria, wax and dirt without leaving an aftertaste, smell or residue. It removes fungus and germs keeping you and your family safe in this time of the virus.",__ EAN__,"https://www.bigbasket.com/media/uploads/p/l/40197227_5-godrej-protekt-germ-protection-fruit-veggie-wash-natural-ingredient-based-removes-germs-bacteria-fungus-wax-dirt.jpg"""
, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH , DISHWASH LIQUIDS & PASTES , FINISH Dishwasher All-in-1 Max Powerball,Finish,40185685,https://www.bigbasket.com/pd/40185685/finish-dishwasher-all-in-1-max-powerball-24-tablets/,"Finish Dishwasher All-in-1 Max Powerball, 24 tablets",599,,,24 tablets,,https://www.bigbasket.com/media/uploads/p/mm/40185685_1-finish-dishwasher-all-in-1-max-powerball.jpg,"Finish all in one max Powerball gives you the brilliant clean and shine you expect, plus added protection against glass corrosion, so your glasses keep their sparkling shine for longer and are protected wash after wash. Now with 10x actions, use finish Powerball for a powerful clean every time.  Our powerball washes away residue for an amazing shine. Its salt and rinse aid action rinses away residues and helps to eliminate spots and film, delivering a sparkling shine. Finish rinse aid is recommended for best drying results. Finish all in one max is available in a re-sealable bag so there is no need to unwrap individual tablets.",8.80115E+12,"https://www.bigbasket.com/media/uploads/p/l/40185685_1-finish-dishwasher-all-in-1-max-powerball.jpg"""
, CLEANING & HOUSEHOLD , BINS & BATHROOM WARE , SOAP CASES & DISPENSERS , AARNA Bath Plastic Scrubber,Aarna,40189059,https://www.bigbasket.com/pd/40189059/aarna-bath-plastic-scrubber-3-pcs/,"Aarna Bath Plastic Scrubber, 3 pcs",60,Rs 39,35%,3 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40189059_1-aarna-bath-plastic-scrubber.jpg,"This multipurpose scrubber cleans will never scratch materials like chrome, copper, stainless steel, anodized surfaces, non-stick coated cookware, glass, crystal, porcelain. Large round size is suitable for all household. Safe for Non-Stick Cookware, Cleans dishes, pots and pans. Perfect for gentle washing and cleaning. Color May vary. Assorted random colours will be sent as per the availability.",40189059,https://www.bigbasket.com/media/uploads/p/l/40189059_1-aarna-bath-plastic-scrubber.jpg
, CLEANING & HOUSEHOLD , DETERGENTS & DISHWASH ," DETERGENT POWDER, LIQUID ", RIN Machine Expert Detergent Powder,Rin,40194693,https://www.bigbasket.com/pd/40194693/rin-machine-expert-detergent-powder-3-kg/,"Rin Machine Expert Detergent Powder, 3 kg",325,,,3 kg,,https://www.bigbasket.com/media/uploads/p/mm/40194693_1-rin-machine-expert-detergent-powder.jpg,"Presenting new Rin Machine Expert which gives your washing machine extra power and gives your clothes a powerful shine. As you stride forward on your journey through life, Rin gives you the confidence to shine, all day, every day. With its superior technology, this detergent powder brightens your whites and coloured clothes.  Rin Machine Expert detergent powder breathes life back into your whites and coloured clothes so that they shine like new. It dissolves quickly in water, targets and gets rid of the toughest of dirt without leaving any residue on your fabrics. It also has a fragrance which ensures your clothes smell fresh and make you feel refreshed all day.  Rin Machine Wash can be used for semi-automatic machine and Top Load machine. It works well for both to give you the brightest results. It is available in 1kg and 3kg at an unbeatable price. With Rin Machine Wash, unleash the power of your machine for bright clothes. ",8.90103E+12,"https://www.bigbasket.com/media/uploads/p/l/40194693_1-rin-machine-expert-detergent-powder.jpg"""
, CLEANING & HOUSEHOLD ," MOPS, BRUSHES & SCRUBS ", DUST CLOTH & WIPES , RISE N SHINE Dish Cloth - Assorted Colour,Rise N Shine,40198342,https://www.bigbasket.com/pd/40198342/rise-n-shine-dish-cloth-assorted-colour-6-pcs/,"Rise N Shine Dish Cloth - Assorted Colour, 6 pcs",99,Rs 59,40%,6 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40198342_1-rise-n-shine-dish-cloth-assorted-colour.jpg,"100% COTTON: These are made of Best cotton & biodegradable and ideal to use in the kitchen to clean dishes and other surfaces. These dishcloths are long-lasting and durable for many washes. Minimal Shrinkage may occur after washing/drying. These Dishcloths are ideal for cleaning, scrubbing, wiping and drying the kitchen utensils or any other tableware without leaving streaks or tiny fibres behind, no lint and scratch-free. The Unique weave pattern makes it more absorbent and holds more water while cleaning. Versatile and fast-drying stink-free dishcloth for your kitchen cleaning and dishwashing tasks. Benefits:  Made of 100% cotton Soft and tear-resistant strength Highly Absorbent Absorbent & Low lint",8.90442E+12,https://www.bigbasket.com/media/uploads/p/l/40198342_1-rise-n-shine-dish-cloth-assorted-colour.jpg
, CLEANING & HOUSEHOLD , ALL PURPOSE CLEANERS , DISINFECTANT SPRAY & CLEANERS , DABUR Sanitise Multisurface Disinfectant Spray,Dabur,40196493,https://www.bigbasket.com/pd/40196493/dabur-sanitise-multisurface-disinfectant-spray-215-ml/,"Dabur Sanitise Multisurface Disinfectant Spray, 215 ml",199,Rs 119.40,40%,215 ml,,https://www.bigbasket.com/media/uploads/p/mm/40196493_1-dabur-sanitise-multisurface-disinfectant-spray.jpg,Dabur Sanitise Disinfectant spray provides protection to you and your family by killing 99.9% of illness-causing germs and viruses. It kills germs instantly with alcohol. It can be used on both hard and soft surfaces to disinfect them and keep it refreshed. It also eliminates bad odour from the surface along with the property of keeping the surface disinfectant.,8.90121E+12,"https://www.bigbasket.com/media/uploads/p/l/40196493_1-dabur-sanitise-multisurface-disinfectant-spray.jpg"""
, CLEANING & HOUSEHOLD , ALL PURPOSE CLEANERS , DISINFECTANT SPRAY & CLEANERS , YARDLEY LONDON English Lavender Anti-Germ Spray,Yardley London,40198194,https://www.bigbasket.com/pd/40198194/yardley-london-english-lavender-anti-germ-spray-75-ml/,"Yardley London English Lavender Anti-Germ Spray, 75 ml",120,Rs 102,15%,75 ml,,https://www.bigbasket.com/media/uploads/p/mm/40198194_1-yardley-london-english-lavender-anti-germ-spray.jpg,"Yardley London brings to you its first-ever Anti-Germ Spray. Yardley English Lavender Anti-Germ Spray Instantly kills 99.9% germs effectively. It can be used as often as required and works without water, a must-have at a home, office or on the go. This two in one pack is suitable on both, skin and surfaces.",8.90311E+12,"https://www.bigbasket.com/media/uploads/p/l/40198194_1-yardley-london-english-lavender-anti-germ-spray.jpg"""
, CLEANING & HOUSEHOLD , ALL PURPOSE CLEANERS , FLOOR & OTHER CLEANERS , SAVLON Spray & Wipe Multipurpose Disinfectant Cleaner,Savlon,40198274,https://www.bigbasket.com/pd/40198274/savlon-spray-wipe-multipurpose-disinfectant-cleaner-500-ml/,"Savlon Spray & Wipe Multipurpose Disinfectant Cleaner, 500 ml",159,Rs 149.46,10,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/40198274_1-savlon-spray-wipe-multipurpose-disinfectant-cleaner.jpg,"Savlon Spray & Wipe Multipurpose Disinfectant Cleaner kills 99.9% germs* including bacteria & fungi commonly found on multiple surfaces and also leaves behind a pleasant citrus fresh smell. A surface may look clean but that does not mean that it is germ-free, this multipurpose cleaner cleans and disinfects surfaces to protect you and your loved ones from disease-causing germs. This versatile cleaner can be used on various surfaces such as kitchen slab, sink, stove, the wall behind the stove, dining table, doorknob, cabinet, mirror, fans, windows, refrigerator & microwave. *Basis lab study on sample microbes ^Basis Active ingredient.",8.90511E+12,"https://www.bigbasket.com/media/uploads/p/l/40198274_1-savlon-spray-wipe-multipurpose-disinfectant-cleaner.jpg"""
, CLEANING & HOUSEHOLD ," MOPS, BRUSHES & SCRUBS ", DUST CLOTH & WIPES , RISE N SHINE Face/Hand Towel - Assorted Colour,Rise N Shine,40198338,https://www.bigbasket.com/pd/40198338/rise-n-shine-facehand-towel-assorted-colour-6-pcs/,"Rise N Shine Face/Hand Towel - Assorted Colour, 6 pcs",139,Rs 89,36%,6 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40198338_1-rise-n-shine-facehand-towel-assorted-colour.jpg,"Add class to your bath linen collection by including this Rise N Shine Cotton Towel. This face towel is an ideal choice for regular use. It provides you with a soft, lightweight feel owing to its pure cotton make. Cotton Colors Towels Form An Essential Part Of The Home Furnishing Collection Of Every Household. Made of 100 percent cotton. In Addition To Being Soft, The Fabric Has Good Durability. Benefits:  Made of 100% cotton Soft and tear-resistant strength Lightweight towels quickly absorb moisture Fade-resistant colour",8.90442E+12,https://www.bigbasket.com/media/uploads/p/l/40198338_1-rise-n-shine-facehand-towel-assorted-colour.jpg
, CLEANING & HOUSEHOLD ," MOPS, BRUSHES & SCRUBS ", DUST CLOTH & WIPES , RISE N SHINE Kitchen/Hand Towel - Assorted Colour,Rise N Shine,40198340,https://www.bigbasket.com/pd/40198340/rise-n-shine-kitchenhand-towel-assorted-colour-3-pcs/,"Rise N Shine Kitchen/Hand Towel - Assorted Colour, 3 pcs",119,Rs 75,37%,3 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40198340_1-rise-n-shine-kitchenhand-towel-assorted-colour.jpg,"Made from natural materials and free from harmful chemicals and synthetic materials, safe for you & your family. The towels are designed in such a way, that makes them the perfect set of towels for daily use, the towels are super absorbent and dry up quickly, reducing the build-up of bacteria. Machine washable, tumble dry on low, for best results, wash separately on the first use on a very gentle cycle to minimize lint. Benefits:  Made of 100% cotton Soft and tear-resistant strength Highly Absorbent Fade-resistant colour",8.90442E+12,https://www.bigbasket.com/media/uploads/p/l/40198340_1-rise-n-shine-kitchenhand-towel-assorted-colour.jpg
, CLEANING & HOUSEHOLD ," MOPS, BRUSHES & SCRUBS ", DUST CLOTH & WIPES ," RISE N SHINE Dish Cloth - Super, Assorted Colour",Rise N Shine,40198343,https://www.bigbasket.com/pd/40198343/rise-n-shine-dish-cloth-super-assorted-colour-4-pcs/,"Rise N Shine Dish Cloth - Super, Assorted Colour, 4 pcs",95,Rs 59,38%,4 pcs,,https://www.bigbasket.com/media/uploads/p/mm/40198343_1-rise-n-shine-dish-cloth-super-assorted-colour.jpg,"100% COTTON: These are made of Best cotton & biodegradable and ideal to use in the kitchen to clean dishes and other surfaces. These dishcloths are long-lasting and durable for many washes. Minimal Shrinkage may occur after washing/drying. These Dishcloths are ideal for cleaning, scrubbing, wiping and drying the kitchen utensils or any other tableware without leaving streaks or tiny fibres behind, no lint and scratch-free. The Unique weave pattern makes it more absorbent and holds more water while cleaning. Versatile and fast-drying stink-free dishcloth for your kitchen cleaning and dishwashing tasks. Benefits:  Made of 100% cotton Soft and tear-resistant strength Highly Absorbent Absorbent & Low lint",8.90442E+12,https://www.bigbasket.com/media/uploads/p/l/40198343_1-rise-n-shine-dish-cloth-super-assorted-colour.jpg
