S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
5272," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS , DAIRY DAY Ice Cream Bucket - ButterScotch,Dairy day,40011554,https://www.bigbasket.com/pd/40011554/dairy-day-ice-cream-bucket-butterscotch-15-l/,"Dairy day Ice Cream Bucket - ButterScotch, 1.5 L",299,,,1.5 L,,https://www.bigbasket.com/media/uploads/p/mm/40011554_2-dairy-day-ice-cream-bucket-butterscotch.jpg,,8.90601E+12,https://www.bigbasket.com/media/uploads/p/l/40011554_2-dairy-day-ice-cream-bucket-butterscotch.jpg
5273," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS , DAIRY DAY Ice Cream - Chocolate,Dairy day,40001162,https://www.bigbasket.com/pd/40001162/dairy-day-ice-cream-chocolate-500-ml-box/,"Dairy day Ice Cream - Chocolate, 500 ml Box",130,,,500 ml,,https://www.bigbasket.com/media/uploads/p/mm/40001162_2-dairy-day-ice-cream-chocolate.jpg,,8.90601E+12,https://www.bigbasket.com/media/uploads/p/l/40001162_2-dairy-day-ice-cream-chocolate.jpg
5274," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK ", SO GOOD Soy Milk Original,So Good,30002116,https://www.bigbasket.com/pd/30002116/so-good-soy-milk-original-1-l/,"So Good Soy Milk Original, 1 L",120,,,1 L,veg,https://www.bigbasket.com/media/uploads/p/mm/30002116_6-so-good-soy-milk-original.jpg,"A perfect choice to start your day in a healthy manner - Try it with cereals or your favorite juices for that healthy and tasty breakfast. Not only does it contains extremely little quality of sweeteners but is also rich in calcium, minerals and vitamins.",8.41541E+11,https://www.bigbasket.com/media/uploads/p/l/30002116_6-so-good-soy-milk-original.jpg
5275," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS , HAVMOR Dry Fruit Malai Ice Cream,Havmor,40164893,https://www.bigbasket.com/pd/40164893/havmor-dry-fruit-malai-ice-cream-1-l-tub/,"Havmor Dry Fruit Malai Ice Cream, 1 L Tub",280,,,1 L,veg,https://www.bigbasket.com/media/uploads/p/mm/40164893_2-havmor-dry-fruit-malai-ice-cream.jpg,"Ice cream made with thickened milk and rich dry fruits like almonds, pistachio. Started in 1944, today Havmor is one of the most loved ice cream brands of the country. Everyone who will ever taste a Havmor ice-cream will always come back for more. Havmor ice creams are made with the purest milk and the finest ingredients. Havmor is every ice cream lovers dream come true. Ice cream loves you, now pamper yourself with some Havmor Ice cream.",8.90409E+12,https://www.bigbasket.com/media/uploads/p/l/40164893_2-havmor-dry-fruit-malai-ice-cream.jpg
5276," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS ," KWALITY WALLS Frozen Dessert - Fruit & Nut, Party Pack",kwality walls,40124640,https://www.bigbasket.com/pd/40124640/kwality-walls-frozen-dessert-fruit-nut-party-pack-700-ml/,"kwality walls Frozen Dessert - Fruit & Nut, Party Pack, 700 ml",165,,,700 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40124640_3-kwality-walls-frozen-dessert-fruit-nut-party-pack.jpg,"With the goodness of real nuts and delicious raisins, dig in to the mouth-watering taste of Kwality Walls tempting and frolicking Fruit & Nut Dessert. A temptation you wouldn't be able to resist even if you wanted to.",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/40124640_3-kwality-walls-frozen-dessert-fruit-nut-party-pack.jpg
5277," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK ", AMUL Tru Orange,Amul,40181674,https://www.bigbasket.com/pd/40181674/amul-tru-orange-200-ml-tetrapack/,"Amul Tru Orange, 200 ml Tetrapack",10,,,200 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40181674_4-amul-tru-orange.jpg,"Amul Tru contains 30% fruit. The beverage perfectly embodies the goodness of milk along with fruit nutrition. It is available in the most loved fruit varieties - the mighty mango, awesome orange, amazing apple and lovely litchi. It has attractive packaging, delicious taste and the power of fruit. No wonder, it's tru to the core.  Tasty drink which satiates thirst while providing nutrition at pocket-friendly prices; Tastes best when chilled.",8.90126E+12,https://www.bigbasket.com/media/uploads/p/l/40181674_4-amul-tru-orange.jpg
5278," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK ", AMUL Tru Orange,Amul,1209012,https://www.bigbasket.com/pd/1209012/amul-tru-orange-4x200-ml-tetrapack/,"Amul Tru Orange, 4x200 ml Multipack",40,,,4x200 ml,,https://www.bigbasket.com/media/uploads/p/mm/1209012_2-amul-tru-orange.jpg,"Amul Tru contains 30% fruit. The beverage perfectly embodies the goodness of milk along with fruit nutrition. It is available in the most loved fruit varieties - the mighty mango, awesome orange, amazing apple and lovely litchi. It has attractive packaging, delicious taste and the power of fruit. No wonder, it's tru to the core.  Tasty drink which satiates thirst while providing nutrition at pocket-friendly prices; Tastes best when chilled.",1209012,https://www.bigbasket.com/media/uploads/p/l/1209012_2-amul-tru-orange.jpg
5279," BAKERY, CAKES & DAIRY "," COOKIES, RUSK & KHARI "," BAKERY BISCUITS, COOKIES ", TASTIES Biscuits - Cashew Nut,Tasties,40106018,https://www.bigbasket.com/pd/40106018/tasties-biscuits-cashew-nut-200-g/,"Tasties Biscuits - Cashew Nut, 200 g",89,Rs 57.85,35%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40106018_9-tasties-biscuits-cashew-nut.jpg,"This crispy sweet cookie is made out of crunchy cashew nuts and delicious melted butter along with other premium ingredients are used to create this wonderful melt in the mouth delight. Can be enjoyed with tea, coffee and ice-cream. Can be used as an all time snack delight.",8.90426E+12,https://www.bigbasket.com/media/uploads/p/l/40106018_9-tasties-biscuits-cashew-nut.jpg
5280," BAKERY, CAKES & DAIRY "," COOKIES, RUSK & KHARI "," BAKERY BISCUITS, COOKIES ", TASTIES Biscuits - Cashew Nut,Tasties,1203301,https://www.bigbasket.com/pd/1203301/tasties-biscuits-cashew-nut-2x200-g/,"Tasties Biscuits - Cashew Nut, 2x200 g Multipack",178,Rs 109.92,38%,2x200 g,,https://www.bigbasket.com/media/uploads/p/mm/1203301_1-tasties-biscuits-cashew-nut.jpg,Biscuits - Cashew NutBest to munch all th etime,1203301,https://www.bigbasket.com/media/uploads/p/l/1203301_1-tasties-biscuits-cashew-nut.jpg
5281," BAKERY, CAKES & DAIRY "," COOKIES, RUSK & KHARI "," BAKERY BISCUITS, COOKIES ", TASTIES Biscuits - Cashew Nut,Tasties,1203302,https://www.bigbasket.com/pd/1203302/tasties-biscuits-cashew-nut-4x200-g/,"Tasties Biscuits - Cashew Nut, 4x200 g Multipack",356,Rs 231.40,35%,4x200 g,,https://www.bigbasket.com/media/uploads/p/mm/1203302_1-tasties-biscuits-cashew-nut.jpg,Biscuits - Cashew NutBest to munch all th etime,1203302,https://www.bigbasket.com/media/uploads/p/l/1203302_1-tasties-biscuits-cashew-nut.jpg
