S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
," EGGS, MEAT & FISH ", POULTRY , FROZEN CHICKEN , YUMMIEZ Punjabi Tikka - Chicken,Yummiez,294237,https://www.bigbasket.com/pd/294237/yummiez-punjabi-tikka-chicken-360-g-pouch/,"Yummiez Punjabi Tikka - Chicken, 360 g Pouch",295,,,360 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/294237_7-yummiez-punjabi-tikka-chicken.jpg,"Here you get a sizzling palate to add to your non veg plate, with the very yummy and spicy Yummiez Punjabi Tikka Chicken. It is made from chicken breasts, and is a high source of protein. The tender chicken with authentic seasoning is succulent in every bite. Enjoy this snack anytime you wish and are also a great appetizer for parties and events.",8.90276E+12,"https://www.bigbasket.com/media/uploads/p/l/294237_7-yummiez-punjabi-tikka-chicken.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , IFB Fresh Catch Prawns - Small,Ifb,40004055,https://www.bigbasket.com/pd/40004055/ifb-fresh-catch-prawns-small-200-g-pouch/,"Ifb Fresh Catch Prawns - Small, 200 g Approx 80 - 90 pcs",185,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40004055_5-ifb-fresh-catch-prawns-small.jpg,"IFB Fresh Catch brings you premium quality prawns from the warm coastal waters of Bengal. It is quickly frozen to ensure consistency and freshness. Upon being thawed and cooked, the natural juices of the prawns are released making it soft and succulent. By purchasing these prawns, you will be supporting a community of dedicated Aqua Farmers committed to preserve the health of their home and the environment, for years to come.",8.1321E+12,"https://www.bigbasket.com/media/uploads/p/l/40004055_5-ifb-fresh-catch-prawns-small.jpg"""
," EGGS, MEAT & FISH ", EGGS , OTHER EGGS , MPM Eggs - Panchakavya,Mpm,40129036,https://www.bigbasket.com/pd/40129036/mpm-eggs-panchakavya-300-g/,"Mpm Eggs - Panchakavya, 300 g",65,,,300 g,contains egg,https://www.bigbasket.com/media/uploads/p/mm/40129036_4-mpm-eggs-panchakavya.jpg,MPMs Panchakavya Eggs are completely antibiotic and enhancer free and contain more nutrients than your regular broiler eggs. It is also effective in controlling ulcers and also help in reducing body heat. Panchakavya Eggs contain loads of medical characteristics.,8.86856E+12,"https://www.bigbasket.com/media/uploads/p/l/40129036_4-mpm-eggs-panchakavya.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , SUMERU Large Prawns,sumeru,40004587,https://www.bigbasket.com/pd/40004587/sumeru-large-prawns-250-g-pouch/,"sumeru Large Prawns, 250 g Pouch",310,,,250 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40004587_2-sumeru-large-prawns.jpg,"Sumeru Five Senses Medium Prawns is the choicest catch from the dirt free, deep and sterilely packed. A fresh juicy prawn is ideal for your curries. Hand picked by Urban Ration to make sure that only the freshest construct reaches your doorstep. It is golden and crisp when fried.",40004587,"https://www.bigbasket.com/media/uploads/p/l/40004587_2-sumeru-large-prawns.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , BIG SAMS Frozen Salmon Skin-on Portions,Big Sams,40084540,https://www.bigbasket.com/pd/40084540/big-sams-frozen-salmon-skin-on-portions-250-g/,"Big Sams Frozen Salmon Skin-on Portions, 250 g",960,,,250 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40084540_2-big-sams-frozen-salmon-skin-on-portions.jpg,"Salmon Skin-on Portions makes the perfect meal for 2. It contains nutritious Omega-3 fatty acids, Salmon is one of the healthiest proteins one can eat. It is flown in directly from Norway, so it is never too far from its date of production. Perfect for grilling.",8.90417E+12,"https://www.bigbasket.com/media/uploads/p/l/40084540_2-big-sams-frozen-salmon-skin-on-portions.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD ," ITC MASTER CHEF Prawns - Super Large, Peeled & Deveined",ITC Master Chef,40110126,https://www.bigbasket.com/pd/40110126/itc-master-chef-prawns-super-large-peeled-deveined-200-g/,"ITC Master Chef Prawns - Super Large, Peeled & Deveined, 200 g",275,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40110126_4-itc-master-chef-prawns-super-large-peeled-deveined.jpg,"Soft & juicy, super safe prawns-adherence to European, America, Japan & Indian Standards. Make your favourite dishes with this super tasty prawns. 243 tests conducted for ITC master chef prawn’s v/s 16 tests required for FSSAI.",8.90607E+12,"https://www.bigbasket.com/media/uploads/p/l/40110126_4-itc-master-chef-prawns-super-large-peeled-deveined.jpg"""
," EGGS, MEAT & FISH ", EGGS , PROTEIN EGGS , MPM Eggs - Double Yolk,Mpm,30007716,https://www.bigbasket.com/pd/30007716/mpm-eggs-double-yolk-6-nos/,"Mpm Eggs - Double Yolk, 6 nos",60,,,6 nos,non-veg,https://www.bigbasket.com/media/uploads/p/mm/30007716_5-mpm-eggs-double-yolk.jpg,"Double Yolkers appear when ovulation occurs too rapidly, or when one yolk somehow gets ""lost"" and is joined by the next yolk. Double yolkers may be by a pullet whose productive cycle is not yet well synchronized. They're occasionally laid by a heavy-breed hen, often as an inherited trait.",3000771699,"https://www.bigbasket.com/media/uploads/p/l/30007716_5-mpm-eggs-double-yolk.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , IFB Fresh Catch Prawns - Large,Ifb,40049586,https://www.bigbasket.com/pd/40049586/ifb-fresh-catch-prawns-large-200-g/,"Ifb Fresh Catch Prawns - Large, 200 g Approx 35-37 pcs",240,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40049586_2-ifb-fresh-catch-prawns-large.jpg,"IFB Fresh Catch brings you premium quality prawns from the warm coastal waters of Bengal. It is quickly frozen to ensure consistency and freshness. Upon being thawed and cooked, the natural juices of the prawns are released making it soft and succulent. By purchasing these prawns, you will be supporting a community of dedicated Aqua Farmers committed to preserve the health of their home and the environment, for years to come.",8.1321E+12,"https://www.bigbasket.com/media/uploads/p/l/40049586_2-ifb-fresh-catch-prawns-large.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , FRESHO Prawns - Small,Fresho,40186082,https://www.bigbasket.com/pd/40186082/fresho-prawns-small-250-g-pouch/,"Fresho Prawns - Small, 250 g Pouch",200,,,250 g,,https://www.bigbasket.com/media/uploads/p/mm/40186082_5-fresho-prawns-small.jpg,"Net Weight Number Of Pcs Serving Size Storage Temp 250 g 20-30 2-4 people 0-4 deg cel Prawns are full of nutrients. They are packed with protein and low in carbohydrate. It helps to build muscle and aids in weight-loss. The Fresho seawater prawns can be used instantly to cook a variety of delicious dishes without going through the pain of cleaning and deveining them.  These are seawater prawn are peeled. Their firm meat is easy to cook whether you are preparing curries, fried snacks, or grilled items. This comes in 30-40 pieces which are perfect for 2-4 people.  Fresho is our in-house brand of fresh meat, poultry, and seafood. We take utmost care in selecting the best suppliers to provide you with high quality and succulent products. Every product is stored in our cold storage right until your doorstep ensuring freshness and utmost hygiene.",8.90426E+12,"https://www.bigbasket.com/media/uploads/p/l/40186082_5-fresho-prawns-small.jpg"""
," EGGS, MEAT & FISH ", EGGS , COUNTRY EGGS , MPM Eggs - Kadaknath Chicken,Mpm,60000400,https://www.bigbasket.com/pd/60000400/mpm-eggs-kadaknath-chicken-6-pcs-carton/,"Mpm Eggs - Kadaknath Chicken, 6 pcs Carton",120,,,6 pcs,non-veg,https://www.bigbasket.com/media/uploads/p/mm/60000400_2-mpm-eggs-kadaknath-chicken.jpg,"Kadaknath is an Indian breed of chicken, which is completely black in colour and indigenous to Madhya Pradesh. Kadaknath eggs are a rare variety of eggs, which are richer in protein than compared to regular eggs and have a high nutritive value.  100 grams serving of this egg contains 11.67% protein and 1745 Kcal.",3.35929E+12,"https://www.bigbasket.com/media/uploads/p/l/60000400_2-mpm-eggs-kadaknath-chicken.jpg"""
