S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , CHIPS & CORN SNACKS , DORITOS Sweet Chilli Tortilla Chips,Doritos,40178099,https://www.bigbasket.com/pd/40178099/doritos-sweet-chilli-tortilla-chips-25-g/,"Doritos Sweet Chilli Tortilla Chips, 25 g",10,,,25 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40178099_1-doritos-sweet-chilli-tortilla-chips.jpg,"The great-tasting bold snack with a perfect crunch and a spicy-sweet chilli flavour. Doritos is the spark that ignites you to be bold. Tooth Rattling Crunch and intense flavours that ignite you to seize the moment and release your inner boldness. If you’re up to the challenge, grab a bag of DORITOS® Sweet Chilli tortilla chips and get ready for the experience. It’s a bold experience in snacking and beyond.",8.90149E+12,"https://www.bigbasket.com/media/uploads/p/l/40178099_1-doritos-sweet-chilli-tortilla-chips.jpg"""
, SNACKS & BRANDED FOODS , BREAKFAST CEREALS , KIDS CEREAL , NESTLE KOKO KRUNCH Breakfast Cereal - Choco Burst,Nestle Koko Krunch,40185406,https://www.bigbasket.com/pd/40185406/nestle-koko-krunch-breakfast-cereal-choco-burst-500-g-box/,"Nestle Koko Krunch Breakfast Cereal - Choco Burst, 500 g Box",330,Rs 296,10%,500 g,,https://www.bigbasket.com/media/uploads/p/mm/40185406_2-nestle-koko-krunch-breakfast-cereal-choco-burst.jpg,"Relish the goodness of Nestlé Koko Krunch which provides more than just a good start to your day, by offering a sensible, great-tasting breakfast focused towards a better, healthier future. Whole grain is an important part of a healthy balanced diet and Nestlé ensures you and your kid gets the whole grain goodness paired with a lot of deliciousness. What’s more? Koko Krunch is your everyday reliable source of Vitamin D and Calcium as well as B-vitamins, Iron and Fibre. These nutrients in the form of the crunchy outside layer with a yummy inside, combine to give a nourishing start to your day. Koko Krunch Cereals can be prepared easily by adding 30 grams of Nestlé Koko Krunch with 120 ml of warm or cold milk for an instant breakfast. The cereal remains crunchy even in warm milk. Allergens: It may contain Milk, Peanuts, Tree Nuts, Mustard, Celery, Sesame and Lupin. Storage Instruction: Store in a cool, dry and hygienic place. After opening, transfer contents to an airtight container. Use within 3 weeks",8.90106E+12,"https://www.bigbasket.com/media/uploads/p/l/40185406_2-nestle-koko-krunch-breakfast-cereal-choco-burst.jpg"""
, SNACKS & BRANDED FOODS , BREAKFAST CEREALS , GRANOLA & CEREAL BARS , NESTLE NESPLUS Breakfast Cereal - Crunchy Granola With Nutty Honey,Nestle NesPlus,40185409,https://www.bigbasket.com/pd/40185409/nestle-nesplus-breakfast-cereal-crunchy-granola-with-nutty-honey-475-g-pouch/,"Nestle NesPlus Breakfast Cereal - Crunchy Granola With Nutty Honey, 475 g Pouch",335,Rs 301.50,34,475 g,,https://www.bigbasket.com/media/uploads/p/mm/40185409_2-nestle-nesplus-breakfast-cereal-crunchy-granola-with-nutty-honey.jpg,"Nutty Honey Granola consists of rolled oats, wheat, jowar, rice, almonds, raisins and honey clustered together to add the perfect crunch to your breakfast. NesPlus is your everyday reliable source of Vitamin D and Calcium to maintain your bone health. It is also rich in B-vitamins, Folic acid and Fibre. What's more? Whole grain is an important part of a healthy balanced diet, and NesPlus ensures you and your family get all the whole grain goodness paired with a lot of deliciousness. Wholesome, satisfying, and perfectly delicious cereal, NesPlus Crunchy Granola is an excellent breakfast choice for everyone. NesPlus Crunchy Granola can be prepared easily by adding 45 grams of the cereal with 120 ml of warm or cold milk along with fresh fruit for an instant breakfast.  ",8.90106E+12,"https://www.bigbasket.com/media/uploads/p/l/40185409_2-nestle-nesplus-breakfast-cereal-crunchy-granola-with-nutty-honey.jpg"""
, SNACKS & BRANDED FOODS , BREAKFAST CEREALS , FLAKES , NESTLE NESPLUS Breakfast Cereal - Crunchy Flakes With Corn & Oats,Nestle NesPlus,40185411,https://www.bigbasket.com/pd/40185411/nestle-nesplus-breakfast-cereal-crunchy-flakes-with-corn-oats-475-g-box/,"Nestle NesPlus Breakfast Cereal - Crunchy Flakes With Corn & Oats, 475 g Box",180,Rs 162,18,475 g,,https://www.bigbasket.com/media/uploads/p/mm/40185411_5-nestle-nesplus-breakfast-cereal-crunchy-flakes-with-corn-oats.jpg,"Nesplus Crunchy Flakes are made with corn and oats. Whole grain is an important part of a healthy balanced diet, and NesPlus ensures you and your family get all the whole grain goodness. Combination of corn and oats, makes NesPlus Crunchy Flakes nutritious and delicious. What’s more? NesPlus is your everyday reliable source of Vitamin D and Calcium to maintain your bone health. It is also rich in B-vitamins, Iron, Folic acid and Fibre. NesPlus Crunchy Flakes can be prepared easily by adding 30 grams of the cereal with 120 ml of warm or cold milk along with fresh fruit for an instant breakfast. Allergens: It may contain Gluten, Milk, Soya, Peanuts, Tree Nuts, Mustard, Celery, Sesame and Lupin. Storage Instruction: Store in a cool, dry and hygienic place. After opening, transfer contents to an airtight container. Use within 3 weeks.",8.90106E+12,"https://www.bigbasket.com/media/uploads/p/l/40185411_5-nestle-nesplus-breakfast-cereal-crunchy-flakes-with-corn-oats.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , HALDIRAMS Kaju - Salted,Haldirams,20002440,https://www.bigbasket.com/pd/20002440/haldirams-kaju-salted-35-g-pouch/,"Haldirams Kaju - Salted, 35 g Pouch",50,,,35 g,,https://www.bigbasket.com/media/uploads/p/mm/20002440_1-haldirams-kaju-salted.jpg,"Haldirams Kaju - Salted is crisp, salty taste. It has rich proteins and nutrition¢‚¬„¢s. It will be used at sweet dishes.",20002440,"https://www.bigbasket.com/media/uploads/p/l/20002440_1-haldirams-kaju-salted.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , HALDIRAMS Haldirams Namkeen - Boondi,Haldirams,20002975,https://www.bigbasket.com/pd/20002975/haldirams-haldirams-namkeen-boondi-40-g-pouch/,"Haldirams Haldirams Namkeen - Boondi, 40 g Pouch",10,,,40 g,,https://www.bigbasket.com/media/uploads/p/mm/20002975_5-haldirams-haldirams-namkeen-boondi.jpg,,20002975,"https://www.bigbasket.com/media/uploads/p/l/20002975_5-haldirams-haldirams-namkeen-boondi.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , HALDIRAMS Namkeen - Chana Cracker,Haldirams,20002414,https://www.bigbasket.com/pd/20002414/haldirams-namkeen-chana-cracker-50-g-pouch/,"Haldirams Namkeen - Chana Cracker, 50 g Pouch",10,,,50 g,,https://www.bigbasket.com/media/uploads/p/mm/20002414_1-haldirams-namkeen-chana-cracker.jpg,"Haldirams Chana Cracker is a brilliant tasting cracker prepared with chickpea flour, rice, split and roasted split peas. It is very crunchy and healthy. It is greatest at tea time.",20002414,"https://www.bigbasket.com/media/uploads/p/l/20002414_1-haldirams-namkeen-chana-cracker.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , HALDIRAMS Salted Peanut,Haldirams,20002441,https://www.bigbasket.com/pd/20002441/haldirams-salted-peanut-200-g-pouch/,"Haldirams Salted Peanut, 200 g Pouch",47,,,200 g,,https://www.bigbasket.com/media/uploads/p/mm/20002441_2-haldirams-salted-peanut.jpg,Haldirams Salted peanuts are the tangy delicious peanuts. It can be enjoyed as a snack in itself along with the tea or coffee. These are one of those items to bring water in the mouth of the eaters. It is prepared of better quality using the best ingredients.,20002441,"https://www.bigbasket.com/media/uploads/p/l/20002441_2-haldirams-salted-peanut.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , HALDIRAMS Peanut - Salted,Haldirams,1203957,https://www.bigbasket.com/pd/1203957/haldirams-peanut-salted-3x150-g/,"Haldirams Peanut - Salted, 3x150 g Multipack",141,,,3x150 g,,https://www.bigbasket.com/media/uploads/p/mm/1203957_1-haldirams-peanut-salted.jpg,Haldirams Salted peanuts are the tangy delicious peanuts. It can be enjoyed as a snack in itself along with the tea or coffee. These are one of those items to bring water in the mouth of the eaters. It is prepared of better quality using the best ingredients.,1203957,https://www.bigbasket.com/media/uploads/p/l/1203957_1-haldirams-peanut-salted.jpg
, SNACKS & BRANDED FOODS , INDIAN MITHAI ," TINNED, PACKED SWEETS ", HALDIRAMS Soan Cake,Haldirams,20004459,https://www.bigbasket.com/pd/20004459/haldirams-soan-cake-100-g-carton/,"Haldirams Soan Cake, 100 g Carton",35,,,100 g,,https://www.bigbasket.com/media/uploads/p/mm/20004459_1-haldirams-soan-cake.jpg,Haldirams Soan Cake Is Traditional Indian Flaky Sweet Cake With Almonds & Pistachios.,8.904E+12,"https://www.bigbasket.com/media/uploads/p/l/20004459_1-haldirams-soan-cake.jpg"""
, SNACKS & BRANDED FOODS , BISCUITS & COOKIES , COOKIES , PARLE 20-20 Cashew Cookies,Parle,230634,https://www.bigbasket.com/pd/230634/parle-20-20-cashew-cookies-45-g-pouch/,"Parle 20-20 Cashew Cookies, 45 g Pouch",5,,,45 g,,https://www.bigbasket.com/media/uploads/p/mm/230634_5-parle-20-20-cashew-cookies.jpg,"Parle 20-20 Cashew Butter Cookies are crispy, good and sweet in taste. These cookies are baked to golden brown crispiness to soften in the mouth and leave you with the taste of excellence. So like this cookie, packed with the wealth of goodness and the cashew of butter. Filled with the richness of cashew, the goodness of butter and a tinge of jeera, Parle 20-20 has become every household’s favourite cookie. Let flavours of cashew, butter, jeera and coconut delight you as you indulge in our range of 20-20 biscuits cookies.",2.40123E+12,"https://www.bigbasket.com/media/uploads/p/l/230634_5-parle-20-20-cashew-cookies.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , PARLE Namkeen-Bhujia Sev,Parle,40019266,https://www.bigbasket.com/pd/40019266/parle-namkeen-bhujia-sev-198-g-pouch/,"Parle Namkeen-Bhujia Sev, 198 g Pouch",43,Rs 36.55,,198 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40019266_12-parle-namkeen-bhujia-sev.jpg,"A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!",8.90172E+12,"https://www.bigbasket.com/media/uploads/p/l/40019266_12-parle-namkeen-bhujia-sev.jpg"""
