S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
202," FOODGRAINS, OIL & MASALA "," ATTA, FLOURS & SOOJI ", ATTA WHOLE WHEAT , BB ROYAL Superior Chakki Wheat Atta - Fortified,bb Royal,40099241,https://www.bigbasket.com/pd/40099241/bb-royal-superior-chakki-wheat-atta-fortified-1-kg/,"bb Royal Superior Chakki Wheat Atta - Fortified, 1 kg",55,Rs 46,16%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40099241_9-bb-royal-superior-chakki-wheat-atta-fortified.jpg,"Bring home the wholesome goodness of nature with bb Royal Chakki Atta fortified with Vitamin B, Iron and Folic Acid. Made from the Superior grade of wheat grains handpicked by BB experts, directly sourced from the Farmers. These golden amber grains go through multi-quality tests to ensure only clean grains are grinded. We use the Traditional chakki process with modern technology to make the finest flour. Because it helps to preserve the nutrients and gives you the perfect balance of colour, taste and nutrition. BB Fortified Royal Chakki Atta is a complete nourishment package for your entire family. It fulfills your daily required intake of essential vitamins and minerals, without you taking note of it. Micronutrients infused Fortified whole wheat flour contain Vitamin B12, Folic Acid and Iron that prevents malnourishment. Folic Acid is known for preventing deformities in children and promoting the growth and development of a healthy body. Fortification increases the nutrient value of flour and helps to cover up the micronutrient’s i.e vitamin and mineral requirements for the larger section of the population. BB Royal Fortified Atta range has been created for public health with research & vision to reduce nutrition-related deficiency in India. To ensure you get 100% pure and nutritious atta we do not mix an ounce of Maida with our product. Whether your rotis are round or not, we promise your rotis will be highly nutritious and soft. Serve your family the wholesome goodness with BB Royal Chakki Atta. We endeavour to give you the best quality flour and the best price to our farmers. With the elimination of Middlemen, BB Team has been ensuring for the last 3 years that our farmers/ fpos get a fair remunerative price for their produce than what farmers get in Mandis.",8.90426E+12,https://www.bigbasket.com/media/uploads/p/l/40099241_9-bb-royal-superior-chakki-wheat-atta-fortified.jpg
203," FOODGRAINS, OIL & MASALA "," ATTA, FLOURS & SOOJI ", ATTA WHOLE WHEAT , BB ROYAL Superior Chakki Wheat Atta - Fortified,bb Royal,40099239,https://www.bigbasket.com/pd/40099239/bb-royal-superior-chakki-wheat-atta-fortified-10-kg/,"bb Royal Superior Chakki Wheat Atta - Fortified, 10 kg",450,Rs 392,13%,10 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40099239_9-bb-royal-superior-chakki-wheat-atta-fortified.jpg,"Bring home the wholesome goodness of nature with bb Royal Chakki Atta fortified with Vitamin B, Iron and Folic Acid. Made from the Superior grade of wheat grains handpicked by BB experts, directly sourced from the Farmers. These golden amber grains go through multi-quality tests to ensure only clean grains are grinded. We use the Traditional chakki process with modern technology to make the finest flour. Because it helps to preserve the nutrients and gives you the perfect balance of colour, taste and nutrition. BB Fortified Royal Chakki Atta is a complete nourishment package for your entire family. It fulfills your daily required intake of essential vitamins and minerals, without you taking note of it. Micronutrients infused Fortified whole wheat flour contain Vitamin B12, Folic Acid and Iron that prevents malnourishment. Folic Acid is known for preventing deformities in children and promoting the growth and development of a healthy body. Fortification increases the nutrient value of flour and helps to cover up the micronutrient’s i.e vitamin and mineral requirements for the larger section of the population. BB Royal Fortified Atta range has been created for public health with research & vision to reduce nutrition-related deficiency in India. To ensure you get 100% pure and nutritious atta we do not mix an ounce of Maida with our product. Whether your rotis are round or not, we promise your rotis will be highly nutritious and soft. Serve your family the wholesome goodness with BB Royal Chakki Atta. We endeavour to give you the best quality flour and the best price to our farmers. With the elimination of Middlemen, BB Team has been ensuring for the last 3 years that our farmers/ fpos get a fair remunerative price for their produce than what farmers get in Mandis.",8.90426E+12,https://www.bigbasket.com/media/uploads/p/l/40099239_9-bb-royal-superior-chakki-wheat-atta-fortified.jpg
204," FOODGRAINS, OIL & MASALA "," ATTA, FLOURS & SOOJI ", ATTA WHOLE WHEAT , BB ROYAL Superior Chakki Wheat Atta - Fortified,bb Royal,1203711,https://www.bigbasket.com/pd/1203711/bb-royal-superior-chakki-wheat-atta-fortified-2x1-kg/,"bb Royal Superior Chakki Wheat Atta - Fortified, 2x1 kg Multipack",110,Rs 88,20%,2x1 kg,,https://www.bigbasket.com/media/uploads/p/mm/1203711_1-bb-royal-superior-chakki-wheat-atta-fortified.jpg,"Bring home the wholesome goodness of nature with bb Royal Chakki Atta fortified with Vitamin B, Iron and Folic Acid. Made from the Superior grade of wheat grains handpicked by BB experts, directly sourced from the Farmers. These golden amber grains go through multi-quality tests to ensure only clean grains are grinded. We use the Traditional chakki process with modern technology to make the finest flour. Because it helps to preserve the nutrients and gives you the perfect balance of colour, taste and nutrition. BB Fortified Royal Chakki Atta is a complete nourishment package for your entire family. It fulfills your daily required intake of essential vitamins and minerals, without you taking note of it. Micronutrients infused Fortified whole wheat flour contain Vitamin B12, Folic Acid and Iron that prevents malnourishment. Folic Acid is known for preventing deformities in children and promoting the growth and development of a healthy body. Fortification increases the nutrient value of flour and helps to cover up the micronutrient’s i.e vitamin and mineral requirements for the larger section of the population. BB Royal Fortified Atta range has been created for public health with research & vision to reduce nutrition-related deficiency in India. To ensure you get 100% pure and nutritious atta we do not mix an ounce of Maida with our product. Whether your rotis are round or not, we promise your rotis will be highly nutritious and soft. Serve your family the wholesome goodness with BB Royal Chakki Atta. We endeavour to give you the best quality flour and the best price to our farmers. With the elimination of Middlemen, BB Team has been ensuring for the last 3 years that our farmers/ fpos get a fair remunerative price for their produce than what farmers get in Mandis.",1203711,https://www.bigbasket.com/media/uploads/p/l/1203711_1-bb-royal-superior-chakki-wheat-atta-fortified.jpg
205," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Channa - Brown,bb Popular,70001280,https://www.bigbasket.com/pd/70001280/bb-popular-channa-brown-1-kg-pouch/,"bb Popular Channa - Brown, 1 kg Pouch",140,Rs 99,29%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/70001280_8-bb-popular-channa-brown.jpg,"Channa brown gram or Bengal gram is a deep brown coloured bean that is like to kabuli channa, but lesser in size with a bland skin and mild-tasting bean. It is high in dietary fiber and is one of the majority protein-rich beans there is. It is generally is utilized in curries and used to create besan flour. It is consumed boiled, fried and sprouted. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",70001280,https://www.bigbasket.com/media/uploads/p/l/70001280_8-bb-popular-channa-brown.jpg
206," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Channa - Brown,bb Popular,40003553,https://www.bigbasket.com/pd/40003553/bb-popular-channa-brown-200-g-pouch/,"bb Popular Channa - Brown, 200 g Pouch",26,Rs 21,19%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40003553_9-bb-popular-channa-brown.jpg,,40003553,https://www.bigbasket.com/media/uploads/p/l/40003553_9-bb-popular-channa-brown.jpg
207," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB POPULAR Channa - Brown,bb Popular,40003554,https://www.bigbasket.com/pd/40003554/bb-popular-channa-brown-500-g-pouch/,"bb Popular Channa - Brown, 500 g Pouch",70,Rs 44.29,37%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40003554_10-bb-popular-channa-brown.jpg,Brown Chana is very high in protein and gives a food meal. It has a low glycemic index and is a good protein selection for people with Diabetes. Brown Chana is a difference of the commonly found chickpea but it is dark brown in color and lesser in size. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/,40003554,https://www.bigbasket.com/media/uploads/p/l/40003554_10-bb-popular-channa-brown.jpg
208," FOODGRAINS, OIL & MASALA ", DALS & PULSES , CEREALS & MILLETS , BB POPULAR Soya Chunks,bb Popular,40046585,https://www.bigbasket.com/pd/40046585/bb-popular-soya-chunks-500-g-pouch/,"bb Popular Soya Chunks, 500 g Pouch",75,Rs 68,9%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40046585_3-bb-popular-soya-chunks.jpg,"Soya chunks have long been a favourite. The very fact the boiled nuggets turn spongy, all ready to absorb any flavours you dunk them in, make them a delight to cook with Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",40046585,https://www.bigbasket.com/media/uploads/p/l/40046585_3-bb-popular-soya-chunks.jpg
209," FOODGRAINS, OIL & MASALA ", DALS & PULSES , CEREALS & MILLETS , BB POPULAR Soya Chunks/Soya Thondugal,bb Popular,40003550,https://www.bigbasket.com/pd/40003550/bb-popular-soya-chunks-200-g-pouch/,"bb Popular Soya Chunks/Soya Thondugal, 200 g Pouch",35,Rs 29,17%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40003550_4-bb-popular-soya-chunks.jpg,"Soya chunks have long been a favourite. The very fact the boiled nuggets turn spongy, all ready to absorb any flavours you dunk them in, make them a delight to cook with. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",400035501,https://www.bigbasket.com/media/uploads/p/l/40003550_4-bb-popular-soya-chunks.jpg
216," FOODGRAINS, OIL & MASALA ", MASALAS & SPICES , WHOLE SPICES , BB POPULAR Mustard/Rai - Small,bb Popular,40085062,https://www.bigbasket.com/pd/40085062/bb-popular-mustardrai-small-100-g/,"bb Popular Mustard/Rai - Small, 100 g",20,Rs 13.39,33%,100 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40085062_8-bb-popular-mustardrai-small.jpg,"Mustard seeds are a very famous ingredient in several regional cuisines. It also relishes the spicy, aromatic rustic taste and fragrance that mustard can add to your meals. They are known to have numerous benefits since they are low in calories and rich in nutritional value and have a lot of antibacterial and antiseptic qualities.",40085062,https://www.bigbasket.com/media/uploads/p/l/40085062_8-bb-popular-mustardrai-small.jpg
217," FOODGRAINS, OIL & MASALA ", DRY FRUITS , ALMONDS ," BB ROYAL Almond/Badam - Californian, Giri",bb Royal,40088564,https://www.bigbasket.com/pd/40088564/bb-royal-almondbadam-californian-giri-1-kg-pouch/,"bb Royal Almond/Badam - Californian, Giri, 1 kg Pouch",1500,Rs 998,33%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40088564_6-bb-royal-almondbadam-californian-giri.jpg,"Almonds are full of nutritional benefits. It is loaded with antioxidants making it one of the healthy dry fruits.  BB Royal is our in house premium brand of the finest staples sourced right from the best farms and production centres in order to get you good quality at competitive prices. Every product is carefully selected by experienced and technically competent merchandisers, cleaned and packed at our hygienic facilities in food grade plastic and sold to you at the most competitive prices in the market. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",40088564,https://www.bigbasket.com/media/uploads/p/l/40088564_6-bb-royal-almondbadam-californian-giri.jpg
